2015-07-08 00:41:53,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:42:03,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:42:13,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:42:23,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:42:33,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:42:43,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:42:53,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:43:03,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:43:13,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:43:23,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:43:33,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:43:43,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:43:53,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:44:03,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:44:13,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:44:23,514 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:44:33,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:44:43,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:44:53,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:45:03,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:45:13,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:45:23,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:45:33,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:45:43,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:45:53,515 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:46:03,516 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:46:13,516 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:46:23,516 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:46:33,516 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:46:43,516 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:46:53,516 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:47:03,516 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:47:13,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:47:23,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:47:33,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:47:43,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:47:53,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:48:03,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:48:13,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:48:23,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:48:33,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:48:43,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
